"city","country","name","japanese_name","address","japanese_address","capacity","image_url"
"Kukës","Albania","Kukës Arena","クケス アリーナ","Rruga Stadiumi","","6200","https://media.api-sports.io/football/venues/19194.png"
"Korçë","Albania","Stadiumi Skënderbeu","スカンデルベウスタジアム","Rruga Gjiergi Kastrioti","","11000","https://media.api-sports.io/football/venues/2155.png"
"Tirana","Albania","Stadiumi Selman Stërmasi","セルマン スターマシ スタジアム","Rruga Muhamet Gjollesha","","12724","https://media.api-sports.io/football/venues/4.png"
"Tirana","Albania","Arena e Demave","アレーナ・エ・デマーヴ","Myslym Keta Road, Tufine","","5000","https://media.api-sports.io/football/venues/19776.png"
"Tirana","Albania","Air Albania Stadium","エアアルバニアスタジアム","Bulevardi Deshmoret e Kombit","","22000","https://media.api-sports.io/football/venues/18855.png"
"Laç","Albania","Stadiumi Laçi","ラチスタジアム","Pranë Bashkisë","","3000","https://media.api-sports.io/football/venues/3.png"
"Gjirokastër","Albania","Stadiumi Gjirokastra","ギロカストラスタジアム","Lagja 18 Shtatori","","8400","https://media.api-sports.io/football/venues/1.png"
"Vlorë","Albania","Stadiumi Flamurtari","フラムルタリスタジアム","Lagja Pavarësia","","8800","https://media.api-sports.io/football/venues/2156.png"
"Kamëz","Albania","Stadiumi Kamza","カムザスタジアム","Rruga Venecia","","5500","https://media.api-sports.io/football/venues/2157.png"
"Fushë-Krujë","Albania","Stadiumi Redi Maloku","レディ・マロクスタジアム","","","3000","https://media.api-sports.io/football/venues/2158.png"
"Durrës","Albania","Stadiumi Niko Dovana","ニコ・ドヴァナスタジアム","Lagjia 18, Rruga Ahmet Ramzoti","","12040","https://media.api-sports.io/football/venues/2159.png"
"Fier","Albania","Stadiumi Loni Papuçiu","ロニ・パプチュウスタジアム","Rruga R. Aranitasi","","6800","https://media.api-sports.io/football/venues/2160.png"
"Luz i Vogël","Albania","Stadiumi Luz i Vogël","光と水のスタジアム","Luz i Vogël","","600","https://media.api-sports.io/football/venues/12390.png"
